Type,Menu,Menu group,Subgroup,"Item, open item",Size modifier,"Modifiers, special requests",Sales Category,Qty sold
menuItem,INDOOR DRINKS,Wine Glass,,Gls Monte Pio Albariño,,,Wine,15
menuItem,INDOOR DRINKS,Wine Glass,,Gls Bennet Valley Chard,,,Wine,61
menuItem,INDOOR DRINKS,Wine Glass,,Gls Francois Chidaine Sauv Blanc,,,Wine,102
menuItem,INDOOR DRINKS,Wine Glass,,Gls Argyle Pinot Noir,,,Wine,49.5
menuItem,INDOOR DRINKS,Wine Glass,,Gls Sinegal Cabernet,,,Wine,38
menuItem,INDOOR DRINKS,Wine Glass,,Gls Iriarte Tempranillo,,,Wine,28
menuItem,INDOOR DRINKS,Wine Glass,,Gls State Street Syrah,,,Wine,35
menuItem,INDOOR DRINKS,Wine Glass,,Gls Malcaracter Tempranillo,,,Wine,23
,INDOOR DRINKS,Wine Bottle,,,,,,78
menuItem,INDOOR DRINKS,Wine Bottle,,CORKAGE,,,Wine,8
menuItem,INDOOR DRINKS,Wine Bottle,,Btl Jane Ventura Cava,,,Wine,9
menuItem,INDOOR DRINKS,Wine Bottle,,Btl Cantina Da Pra Prosecco,,,Wine,5
menuItem,INDOOR DRINKS,Wine Bottle,,Btl Grolleau Rose,,,Wine,4
menuItem,INDOOR DRINKS,Wine Bottle,,Btl Ariddu Grillo,,,Wine,6
menuItem,INDOOR DRINKS,Wine Bottle,,Btl Monte Pio Albariño,,,Wine,1
menuItem,INDOOR DRINKS,Wine Bottle,,Btl Bennet Valley Chard,,,Wine,7
menuItem,INDOOR DRINKS,Wine Bottle,,Btl Francois Chidaine Sauv Blanc,,,Wine,15
menuItem,INDOOR DRINKS,Wine Bottle,,Btl Argyle Pinot Noir,,,Wine,11
menuItem,INDOOR DRINKS,Wine Bottle,,Btl Finca Iriarte Tempranillo,,,Wine,2
menuItem,INDOOR DRINKS,Wine Bottle,,Btl Sinegal Cabernet,,,Wine,4
menuItem,INDOOR DRINKS,Wine Bottle,,Btl State Street Syrah,,,Wine,2
menuItem,INDOOR DRINKS,Wine Bottle,,Btl Malcaracter Tempranillo,,,Wine,4
,INDOOR DRINKS,Gin,,,,,,32
menuItem,INDOOR DRINKS,Gin,,Well Gin City of London,,,Liquor,12
menuItem,INDOOR DRINKS,Gin,,Hendricks,,,Liquor,14
menuItem,INDOOR DRINKS,Gin,,Tanqueray,,,Liquor,2
menuItem,INDOOR DRINKS,Gin,,St. George Botanivore,,,Liquor,4
,INDOOR DRINKS,Liquers,,,,,,7
menuItem,INDOOR DRINKS,Liquers,,Campari,,,Liquor,1
menuItem,INDOOR DRINKS,Liquers,,Fernet Branca,,,Liquor,1
menuItem,INDOOR DRINKS,Liquers,,Grand Marnier,,,Liquor,2
menuItem,INDOOR DRINKS,Liquers,,Amaro Montenegro,,,Liquor,3
,INDOOR DRINKS,Rum,,,,,,8
menuItem,INDOOR DRINKS,Rum,,Well Rum Royal Standards,,,Liquor,6
menuItem,INDOOR DRINKS,Rum,,Pampero Aniversario,,,Liquor,2
,INDOOR DRINKS,Scotch,,,,,,1
menuItem,INDOOR DRINKS,Scotch,,Dalmore 12,,,Liquor,1
,INDOOR DRINKS,Vodka,,,,,,46
menuItem,INDOOR DRINKS,Vodka,,Ketel One,,,Liquor,15
menuItem,INDOOR DRINKS,Vodka,,Hangar One,,,Liquor,3
menuItem,INDOOR DRINKS,Vodka,,Grey Goose,,,Liquor,10
menuItem,INDOOR DRINKS,Vodka,,Well Vodka Rigby,,,Liquor,17
menuItem,INDOOR DRINKS,Vodka,,All Purpose Vodka,,,Liquor,1
,INDOOR DRINKS,Whiskey,,,,,,33
menuItem,INDOOR DRINKS,Whiskey,,Well Rye Old Overholt Rye,,,Liquor,8
menuItem,INDOOR DRINKS,Whiskey,,Jameson,,,Liquor,7
menuItem,INDOOR DRINKS,Whiskey,,Maker’s Mark,,,Liquor,12
menuItem,INDOOR DRINKS,Whiskey,,Home Base Bourbon,,,Liquor,5
menuItem,INDOOR DRINKS,Whiskey,,Michter's Bourbon,,,Liquor,1
,PATIO DRINKS,,,,,,,7746
,PATIO DRINKS,House Cocktails,,,,,,4577.5
menuItem,PATIO DRINKS,House Cocktails,,Margarita,,,Liquor,1505
menuItem,PATIO DRINKS,House Cocktails,,Mezcal Margarita,,,Liquor,197
menuItem,PATIO DRINKS,House Cocktails,,Cadillac Margarita,,,Liquor,39
menuItem,PATIO DRINKS,House Cocktails,,Palomaesque,,,Liquor,397
menuItem,PATIO DRINKS,House Cocktails,,The Comal Swizzle,,,Liquor,447.5
menuItem,PATIO DRINKS,House Cocktails,,Cocktail Al Pastor,,,Liquor,129
menuItem,PATIO DRINKS,House Cocktails,,El Chavo,,,Liquor,171
menuItem,PATIO DRINKS,House Cocktails,,Summer Camp,,,Liquor,103
menuItem,PATIO DRINKS,House Cocktails,,Jack Satan,,,Liquor,464
menuItem,PATIO DRINKS,House Cocktails,,Joaquin Murrieta,,,Liquor,178
menuItem,PATIO DRINKS,House Cocktails,,Abuelo Sucio,,,Liquor,283
menuItem,PATIO DRINKS,House Cocktails,,Michelada,,,Liquor,27
menuItem,PATIO DRINKS,House Cocktails,,La Maravilla,,,Liquor,78
menuItem,PATIO DRINKS,House Cocktails,,Pucker Punch,,,NA Beverage,172
menuItem,PATIO DRINKS,House Cocktails,,Jolly Ranchero,,,Liquor,85
menuItem,PATIO DRINKS,House Cocktails,,Margarita (zero proof),,,Liquor,94
menuItem,PATIO DRINKS,House Cocktails,,Mexican Coffee,,,Liquor,24
menuItem,PATIO DRINKS,House Cocktails,,Agua Fresca Con Carne,,,Liquor,11
menuItem,PATIO DRINKS,House Cocktails,,Matt's Cocktail,,,Liquor,74
menuItem,PATIO DRINKS,House Cocktails,,Side of Limes,,,Liquor,2
menuItem,PATIO DRINKS,House Cocktails,,Quince Essential,,,Liquor,80
menuItem,PATIO DRINKS,House Cocktails,,Taste of...,,,Liquor,17
,PATIO DRINKS,Classic Cocktails,,,,,,112
menuItem,PATIO DRINKS,Classic Cocktails,,Daiquiri,,,Liquor,4
menuItem,PATIO DRINKS,Classic Cocktails,,Dark $ Stormy,,,Liquor,1
menuItem,PATIO DRINKS,Classic Cocktails,,French 75,,,Liquor,1
menuItem,PATIO DRINKS,Classic Cocktails,,Hot Toddy,,,Liquor,2
menuItem,PATIO DRINKS,Classic Cocktails,,Last Word,,,Liquor,7
